site_id,latitude,longitude,ocean_name,realm_name,ecoregion_name,country_name,state_name,city_town_name,site_name,reef_id,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_record_count,observed_positive_count,latest_observed_date,first_observed_date,provenance_source_count,provenance_sources,mean_label_quality_score,display_name
12052,24.4717,-81.7681,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8511.0,Exposed,0.0789,53.15,5.2,1,1,2014-08-18,2014-08-18,1,"[""FRRP""]",0.87,Monroe County
12053,24.4718,-81.7252,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9340.0,Exposed,0.0727,53.15,12.5,1,1,2011-08-16,2011-08-16,1,"[""FRRP""]",0.87,Monroe County
12054,24.472,-81.7648,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8546.0,Exposed,0.0789,53.15,5.5,1,1,2010-08-25,2010-08-25,1,"[""FRRP""]",0.87,Monroe County
12055,24.4721,-81.765,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8537.0,Exposed,0.0789,53.15,4.8,1,1,2010-08-24,2010-08-24,1,"[""FRRP""]",0.87,Monroe County
12056,24.4725,-81.7495,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9011.0,Exposed,0.0727,53.15,10.1,1,1,2014-08-18,2014-08-18,1,"[""FRRP""]",0.87,Monroe County
12057,24.4726,-81.7547,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8799.0,Exposed,0.0789,53.15,14.8,1,1,2009-10-01,2009-10-01,1,"[""FRRP""]",0.87,Monroe County
12058,24.4348,-81.9301,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10109.0,Exposed,0.0586,56.58,15.0,1,1,2009-09-01,2009-09-01,1,"[""FRRP""]",0.87,Monroe County
13316,25.2124,-80.2128,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10743.0,Exposed,0.1047,56.55,5.4,1,1,2009-08-04,2009-08-04,1,"[""FRRP""]",0.87,Monroe County
13317,25.2134,-80.263,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,6026.0,Sheltered,0.1769,56.55,1.9,1,1,2014-10-15,2014-10-15,1,"[""FRRP""]",0.87,Monroe County
12059,24.438,-81.8934,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10334.17,Exposed,0.0571,56.58,16.4,1,1,2006-01-23,2006-01-23,1,"[""FRRP""]",0.87,Monroe County
12060,24.4381,-81.9031,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10046.75,Exposed,0.0571,56.58,14.8,1,1,2005-09-27,2005-09-27,1,"[""FRRP""]",0.87,Monroe County
12061,24.4387,-81.9066,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9897.0,Exposed,0.0571,56.58,18.4,1,1,2010-09-03,2010-09-03,1,"[""FRRP""]",0.87,Monroe County
13121,25.0028,-80.4017,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,7037.0,Exposed,0.1005,60.51,6.4,1,1,2007-10-17,2007-10-17,1,"[""FRRP""]",0.87,Monroe County
12062,24.4435,-81.9358,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9058.0,Exposed,0.0586,56.58,8.2,1,1,2014-08-27,2014-08-27,1,"[""FRRP""]",0.87,Monroe County
12063,24.4437,-81.9737,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8640.0,Exposed,0.0583,56.58,15.4,1,1,2010-08-18,2010-08-18,1,"[""FRRP""]",0.87,Monroe County
