site_id,date,reason
1401,1997-07-30,missing_observed_percent_bleaching
1402,1997-08-16,missing_observed_percent_bleaching
1414,2005-09-15,missing_observed_percent_bleaching
1415,2005-09-15,missing_observed_percent_bleaching
1417,1987-11-15,missing_observed_percent_bleaching
1429,2007-05-15,missing_observed_percent_bleaching
1431,1997-05-24,missing_observed_percent_bleaching
1432,2001-08-31,missing_observed_percent_bleaching
1433,1997-08-30,missing_observed_percent_bleaching
1434,1997-06-24,missing_observed_percent_bleaching
1443,2000-07-15,missing_observed_percent_bleaching
1444,2000-07-15,missing_observed_percent_bleaching
1445,2000-07-15,missing_observed_percent_bleaching
1446,2000-07-15,missing_observed_percent_bleaching
1447,2000-07-15,missing_observed_percent_bleaching
1448,2000-07-15,missing_observed_percent_bleaching
1449,2000-07-15,missing_observed_percent_bleaching
1450,2000-07-15,missing_observed_percent_bleaching
1451,2000-07-15,missing_observed_percent_bleaching
1452,2000-07-15,missing_observed_percent_bleaching
1453,2000-07-15,missing_observed_percent_bleaching
1454,2000-07-15,missing_observed_percent_bleaching
1455,2000-07-15,missing_observed_percent_bleaching
1456,2000-07-15,missing_observed_percent_bleaching
1457,2000-07-15,missing_observed_percent_bleaching
1458,2000-07-15,missing_observed_percent_bleaching
1459,2000-07-15,missing_observed_percent_bleaching
1460,2000-07-15,missing_observed_percent_bleaching
1461,2000-07-15,missing_observed_percent_bleaching
1462,2000-07-15,missing_observed_percent_bleaching
1463,2000-07-15,missing_observed_percent_bleaching
1469,2007-12-15,missing_observed_percent_bleaching
1477,2005-08-15,missing_observed_percent_bleaching
1575,1995-09-15,missing_observed_percent_bleaching
1609,1991-07-15,missing_observed_percent_bleaching
1649,2003-08-15,missing_observed_percent_bleaching
1652,2002-03-27,missing_observed_percent_bleaching
1653,2002-03-26,missing_observed_percent_bleaching
1654,2002-03-26,missing_observed_percent_bleaching
1655,2002-03-25,missing_observed_percent_bleaching
1656,2002-03-20,missing_observed_percent_bleaching
1657,2002-03-19,missing_observed_percent_bleaching
1658,2002-03-18,missing_observed_percent_bleaching
1659,2002-03-23,missing_observed_percent_bleaching
1660,2002-03-24,missing_observed_percent_bleaching
1661,2004-12-16,missing_observed_percent_bleaching
1662,2004-12-15,missing_observed_percent_bleaching
1667,2003-01-07,missing_observed_percent_bleaching
1668,2003-01-21,missing_observed_percent_bleaching
1669,2002-09-20,missing_observed_percent_bleaching
1670,2003-02-06,missing_observed_percent_bleaching
1671,2003-02-05,missing_observed_percent_bleaching
1672,2003-02-05,missing_observed_percent_bleaching
1673,2003-02-04,missing_observed_percent_bleaching
1674,2003-03-19,missing_observed_percent_bleaching
1675,2002-11-08,missing_observed_percent_bleaching
1675,2003-03-21,missing_observed_percent_bleaching
1676,2003-03-21,missing_observed_percent_bleaching
1677,2002-11-07,missing_observed_percent_bleaching
1678,2002-11-07,missing_observed_percent_bleaching
1679,2002-11-06,missing_observed_percent_bleaching
1680,2002-11-05,missing_observed_percent_bleaching
1681,2002-11-05,missing_observed_percent_bleaching
1787,2010-11-09,missing_observed_percent_bleaching
1798,2004-05-13,missing_observed_percent_bleaching
1799,2002-06-16,missing_observed_percent_bleaching
1799,2006-05-04,missing_observed_percent_bleaching
1799,2009-05-19,missing_observed_percent_bleaching
1800,1999-08-08,missing_observed_percent_bleaching
1800,2002-06-15,missing_observed_percent_bleaching
1800,2004-05-11,missing_observed_percent_bleaching
1800,2008-05-29,missing_observed_percent_bleaching
1800,2009-05-20,missing_observed_percent_bleaching
1801,2001-07-08,missing_observed_percent_bleaching
1802,1997-08-30,missing_observed_percent_bleaching
1803,2001-06-24,missing_observed_percent_bleaching
1804,2006-08-01,missing_observed_percent_bleaching
1805,2002-06-26,missing_observed_percent_bleaching
1806,1997-08-16,missing_observed_percent_bleaching
1806,1998-07-25,missing_observed_percent_bleaching
1806,1999-08-01,missing_observed_percent_bleaching
1806,2001-06-03,missing_observed_percent_bleaching
1806,2002-06-17,missing_observed_percent_bleaching
1806,2004-05-12,missing_observed_percent_bleaching
1807,1999-08-15,missing_observed_percent_bleaching
1808,1997-08-23,missing_observed_percent_bleaching
