lat,lon,baa,dhw,sst_anom,turbidity,date,bleaching_present
20.425,-71.825,0,0.0,-2.96,0.0,1985-04-01,0
10.525,-44.275,0,0.0,-2.75,0.0,1985-04-01,0
-9.225,-21.575,2,1.18,1.11,0.0,1985-04-01,1
-16.225,-127.775,0,0.0,-0.16,0.0,1985-04-01,0
19.925,177.025,0,0.0,-3.14,0.0,1985-04-01,0
27.375,-42.275,0,0.0,-5.86,0.0,1985-04-01,0
-22.675,168.975,0,2.05,-0.26,0.0,1985-04-01,0
-4.825,-117.625,1,0.0,0.58,0.0,1985-04-01,1
-7.425,123.975,0,0.0,-0.75,0.0,1985-04-01,0
-24.075,-22.525,0,0.0,-0.81,0.0,1985-04-01,0
-9.325,59.475,0,0.0,-0.8200000000000001,0.0,1985-04-01,0
0.875,0.375,1,0.0,0.15,0.0,1985-04-01,1
-12.675,-95.175,1,0.0,-0.05,0.0,1985-04-01,1
-13.775,61.325,0,0.0,-0.33,0.0,1985-04-01,0
7.075,167.625,0,0.0,-1.82,0.0,1985-04-01,0
-17.375,-145.175,1,0.0,0.2,0.0,1985-04-01,1
28.475,-111.925,0,0.0,-12.92,0.0,1985-04-01,0
8.925,88.925,1,0.0,0.07,0.0,1985-04-01,1
-26.275,52.925,1,0.33,0.1,0.0,1985-04-01,1
1.325,63.175,0,0.0,-0.42,0.0,1985-04-01,0
25.225,131.775,0,0.0,-6.01,0.0,1985-04-01,0
16.625,160.375,0,0.0,-2.7800000000000002,0.0,1985-04-01,0
18.125,146.075,0,0.0,-2.99,0.0,1985-04-01,0
6.925,133.825,0,0.0,-0.24,0.0,1985-04-01,0
5.775,-91.875,0,0.0,-0.08,0.0,1985-04-01,0
17.875,-86.575,0,0.0,-2.46,0.0,1985-04-01,0
-1.375,167.425,0,0.0,-2.37,0.0,1985-04-01,0
-18.125,117.375,2,0.5700000000000001,1.28,0.0,1985-04-01,1
22.125,-85.475,0,0.0,-3.3200000000000003,0.0,1985-04-01,0
-27.125,171.975,0,1.3800000000000001,-0.58,0.0,1985-04-01,0
-20.525,159.025,0,1.0,-0.28,0.0,1985-04-01,0
-25.225,-111.025,0,0.44,-0.49,0.0,1985-04-01,0
19.825,-115.775,0,0.0,-4.07,0.0,1985-04-01,0
-17.025,-114.275,0,0.0,-0.2,0.0,1985-04-01,0
9.625,57.725,0,0.0,-1.32,0.0,1985-04-01,0
17.375,-85.925,0,0.0,-2.34,0.0,1985-04-01,0
-3.225,58.675,0,0.0,-0.7000000000000001,0.0,1985-04-01,0
5.575,110.375,0,0.0,-2.9,0.0,1985-04-01,0
12.875,174.225,0,0.0,-2.5,0.0,1985-04-01,0
-8.425,-151.075,0,0.0,-1.6,0.0,1985-04-01,0
-12.875,-164.675,0,0.0,-0.86,0.0,1985-04-01,0
16.525,-22.725,0,0.0,-5.82,0.0,1985-04-01,0
-20.675,150.975,0,0.0,-1.03,0.0,1985-04-01,0
13.025,-53.625,0,0.0,-2.62,0.0,1985-04-01,0
14.825,-64.425,0,0.0,-2.49,0.0,1985-04-01,0
-26.025,3.925,0,0.0,-0.89,0.0,1985-04-01,0
2.125,127.725,0,0.0,-0.43,0.0,1985-04-01,0
-20.475,3.275,0,0.0,-0.79,0.0,1985-04-01,0
-26.775,-146.225,0,11.13,-0.18,0.0,1985-04-01,0
-1.825,-94.875,0,0.0,-0.32,0.0,1985-04-01,0
-19.075,-14.025,0,0.0,-0.21,0.0,1985-04-01,0
13.125,52.925,0,0.0,-2.4,0.0,1985-04-01,0
28.625,163.325,0,0.0,-7.5,0.0,1985-04-01,0
-8.875,-94.375,0,0.0,-0.5700000000000001,0.0,1985-04-01,0
-15.275,174.825,1,0.0,0.88,0.0,1985-04-01,1
29.625,-48.925,0,0.0,-6.82,0.0,1985-04-01,0
-1.125,-169.175,0,0.0,-2.6,0.0,1985-04-01,0
23.825,-167.925,0,0.0,-4.39,0.0,1985-04-01,0
21.825,64.375,0,0.0,-3.0300000000000002,0.0,1985-04-01,0
-13.125,-123.275,1,0.0,-0.27,0.0,1985-04-01,1
1.475,171.625,0,0.33,-2.4,0.0,1985-04-01,0
-13.825,149.775,0,0.0,-0.53,0.0,1985-04-01,0
-19.475,73.525,0,0.0,-0.9,0.0,1985-04-01,0
20.325,168.925,0,0.0,-3.8200000000000003,0.0,1985-04-01,0
1.175,89.375,1,0.0,-0.01,0.0,1985-04-01,1
2.525,176.075,0,0.0,-1.79,0.0,1985-04-01,0
-16.225,-22.425,1,0.0,0.37,0.0,1985-04-01,1
-9.725,56.675,1,0.0,-1.05,0.0,1985-04-01,1
-15.725,138.925,0,1.17,-1.8900000000000001,0.0,1985-04-01,0
18.375,-150.825,0,0.0,-3.7600000000000002,0.0,1985-04-01,0
0.375,-122.575,0,0.0,-1.21,0.0,1985-04-01,0
11.875,54.825,0,0.0,-1.72,0.0,1985-04-01,0
-13.275,-24.825,2,0.51,1.05,0.0,1985-04-01,1
29.575,-19.575,0,0.0,-5.19,0.0,1985-04-01,0
-25.475,61.425,1,0.0,0.63,0.0,1985-04-01,1
17.575,-24.225,0,0.0,-5.25,0.0,1985-04-01,0
25.775,128.475,0,0.0,-6.3500000000000005,0.0,1985-04-01,0
5.125,-167.025,0,0.0,-1.57,0.0,1985-04-01,0
20.425,178.175,0,0.0,-3.54,0.0,1985-04-01,0
15.825,68.275,0,0.0,-1.03,0.0,1985-04-01,0
-25.775,50.875,1,0.3,0.48,0.0,1985-04-01,1
14.275,155.625,0,0.0,-2.21,0.0,1985-04-01,0
25.875,-14.625,0,0.0,-4.7,0.0,1985-04-01,0
-20.925,161.225,1,1.62,0.44,0.0,1985-04-01,1
23.125,-35.525,0,0.0,-3.38,0.0,1985-04-01,0
0.875,-129.625,0,0.0,-1.57,0.0,1985-04-01,0
6.275,144.525,0,0.0,-0.68,0.0,1985-04-01,0
-12.925,144.325,0,0.0,-0.64,0.0,1985-04-01,0
-16.425,-138.525,1,0.0,0.16,0.0,1985-04-01,1
-14.725,-26.825,1,0.0,0.75,0.0,1985-04-01,1
-29.775,-81.425,0,0.0,-0.71,0.0,1985-04-01,0
-25.825,10.575,0,0.48,-0.99,0.0,1985-04-01,0
24.975,-25.125,0,0.0,-5.11,0.0,1985-04-01,0
19.075,143.325,0,0.0,-3.11,0.0,1985-04-01,0
17.825,-102.325,0,0.0,-4.6000000000000005,0.0,1985-04-01,0
1.425,-136.225,0,0.0,-1.22,0.0,1985-04-01,0
-1.125,156.025,0,0.0,-1.52,0.0,1985-04-01,0
-3.525,62.475,0,0.0,-1.22,0.0,1985-04-01,0
-3.925,86.375,0,0.0,-0.43,0.0,1985-04-01,0
13.075,47.925,0,0.0,-2.84,0.0,1985-04-01,0
0.775,-99.125,0,0.0,-0.65,0.0,1985-04-01,0
7.175,-24.425,0,0.0,-3.7600000000000002,0.0,1985-04-01,0
-23.925,94.625,1,1.93,0.07,0.0,1985-04-01,1
21.425,178.975,0,0.0,-3.86,0.0,1985-04-01,0
0.225,-169.575,0,0.0,-2.86,0.0,1985-04-01,0
-10.425,7.375,0,0.0,-0.92,0.0,1985-04-01,0
-22.175,-38.775,2,0.17,1.16,0.0,1985-04-01,1
-14.225,-31.375,1,0.0,0.38,0.0,1985-04-01,1
27.075,-111.375,0,0.0,-11.67,0.0,1985-04-01,0
20.675,-75.525,0,0.0,-3.16,0.0,1985-04-01,0
-6.275,-121.425,1,0.0,-0.02,0.0,1985-04-01,1
8.325,-21.375,0,0.0,-4.89,0.0,1985-04-01,0
23.575,-16.275,0,0.0,-2.31,0.0,1985-04-01,0
22.275,-166.975,0,0.0,-3.95,0.0,1985-04-01,0
-23.575,-4.325,0,0.0,-0.6900000000000001,0.0,1985-04-01,0
9.575,54.725,0,0.0,-1.21,0.0,1985-04-01,0
6.875,-55.325,0,0.0,-1.32,0.0,1985-04-01,0
0.125,-108.975,1,0.0,0.6,0.0,1985-04-01,1
-17.575,-91.575,1,0.0,0.03,0.0,1985-04-01,1
-25.275,-167.225,1,2.47,0.19,0.0,1985-04-01,1
0.375,178.675,0,0.0,-2.42,0.0,1985-04-01,0
-4.575,108.425,1,0.0,-1.52,0.0,1985-04-01,1
26.825,-120.775,0,0.0,-4.71,0.0,1985-04-01,0
-28.625,85.075,1,2.04,0.32,0.0,1985-04-01,1
0.525,-80.775,0,0.0,-1.1500000000000001,0.0,1985-04-01,0
27.125,-132.675,0,0.0,-4.43,0.0,1985-04-01,0
10.525,-20.475,0,0.0,-5.99,0.0,1985-04-01,0
-24.675,72.025,1,2.96,0.27,0.0,1985-04-01,1
-10.825,11.775,1,0.36,-1.8,0.0,1985-04-01,1
-1.425,44.575,1,0.0,0.64,0.0,1985-04-01,1
-9.725,130.125,0,0.0,-0.22,0.0,1985-04-01,0
-4.375,-146.375,0,0.0,-1.32,0.0,1985-04-01,0
-14.375,-152.075,1,0.0,-0.42,0.0,1985-04-01,1
-11.775,-98.525,1,0.0,0.18,0.0,1985-04-01,1
-24.275,-32.325,1,0.0,0.19,0.0,1985-04-01,1
-15.125,-100.175,1,0.0,-0.16,0.0,1985-04-01,1
22.825,-175.925,0,0.0,-4.7700000000000005,0.0,1985-04-01,0
3.275,-140.575,0,0.0,-1.11,0.0,1985-04-01,0
-24.275,105.225,1,3.6,0.36,0.0,1985-04-01,1
0.825,-47.625,0,0.0,-1.0,0.0,1985-04-01,0
-13.925,-166.375,1,0.0,-0.34,0.0,1985-04-01,1
-26.725,67.825,1,4.5200000000000005,0.4,0.0,1985-04-01,1
-20.225,10.425,0,0.67,-1.8,0.0,1985-04-01,0
-20.775,-143.175,1,0.14,0.48,0.0,1985-04-01,1
-4.425,-137.175,0,0.0,-0.93,0.0,1985-04-01,0
0.925,55.425,1,0.0,0.05,0.0,1985-04-01,1
-26.625,-80.675,0,0.5,-1.17,0.0,1985-04-01,0
-2.075,162.475,0,0.3,-1.46,0.0,1985-04-01,0
-22.075,-34.675,2,0.43,1.51,0.0,1985-04-01,1
-9.525,-107.775,1,0.0,0.36,0.0,1985-04-01,1
-26.975,37.925,1,0.18,0.8200000000000001,0.0,1985-04-01,1
-1.075,-119.025,0,0.0,-0.61,0.0,1985-04-01,0
-20.425,74.975,0,0.0,-0.07,0.0,1985-04-01,0
-25.975,-164.875,1,0.81,0.5,0.0,1985-04-01,1
-20.475,-15.275,0,0.0,-0.49,0.0,1985-04-01,0
-1.175,-115.575,0,0.0,-0.24,0.0,1985-04-01,0
-11.275,177.375,0,0.0,-0.7000000000000001,0.0,1985-04-01,0
5.925,152.625,0,0.0,-1.36,0.0,1985-04-01,0
10.675,-43.275,0,0.0,-2.56,0.0,1985-04-01,0
15.975,-150.775,0,0.0,-2.85,0.0,1985-04-01,0
19.725,-65.625,0,0.0,-2.64,0.0,1985-04-01,0
-5.525,83.175,1,0.0,0.47000000000000003,0.0,1985-04-01,1
-9.275,178.925,0,0.0,-1.97,0.0,1985-04-01,0
6.175,91.275,1,0.0,-0.16,0.0,1985-04-01,1
8.075,96.125,1,0.0,-0.25,0.0,1985-04-01,1
26.675,-51.575,0,0.0,-5.49,0.0,1985-04-01,0
-13.325,155.925,1,0.0,0.26,0.0,1985-04-01,1
22.525,-18.275,0,0.0,-2.88,0.0,1985-04-01,0
7.625,120.975,0,0.0,-0.65,0.0,1985-04-01,0
2.475,86.925,1,0.0,-0.16,0.0,1985-04-01,1
-3.775,165.825,0,0.0,-2.17,0.0,1985-04-01,0
25.425,161.325,0,0.0,-5.25,0.0,1985-04-01,0
-19.775,-28.225,1,0.0,-0.21,0.0,1985-04-01,1
11.225,101.875,1,0.0,-1.29,0.0,1985-04-01,1
18.375,-69.575,0,0.0,-2.38,0.0,1985-04-01,0
3.575,-109.675,0,0.0,-0.23,0.0,1985-04-01,0
10.725,115.025,0,0.0,-1.6400000000000001,0.0,1985-04-01,0
3.225,-47.275,0,0.0,-0.7000000000000001,0.0,1985-04-01,0
23.175,-67.175,0,0.0,-4.2,0.0,1985-04-01,0
-10.525,-158.325,0,0.0,-1.09,0.0,1985-04-01,0
-0.925,86.525,1,0.0,0.19,0.0,1985-04-01,1
-14.475,10.925,0,0.31,-1.9000000000000001,0.0,1985-04-01,0
0.975,71.075,1,0.0,-0.46,0.0,1985-04-01,1
11.425,-95.175,0,0.0,-1.82,0.0,1985-04-01,0
-3.975,-7.425,1,0.0,0.06,0.0,1985-04-01,1
24.775,-170.825,0,0.0,-4.55,0.0,1985-04-01,0
-10.775,-169.625,0,0.0,-0.38,0.0,1985-04-01,0
-14.375,68.975,0,0.9,-0.75,0.0,1985-04-01,0
-13.625,56.125,0,0.18,-1.16,0.0,1985-04-01,0
-6.075,82.875,1,0.0,0.36,0.0,1985-04-01,1
16.775,-56.575,0,0.0,-2.7600000000000002,0.0,1985-04-01,0
5.925,-10.875,0,0.0,-1.8,0.0,1985-04-01,0
-29.025,-13.025,0,0.0,-0.28,0.0,1985-04-01,0
-24.625,98.325,1,4.19,0.64,0.0,1985-04-01,1
-18.475,-79.675,1,1.08,0.28,0.0,1985-04-01,1
29.525,153.425,0,0.0,-8.93,0.0,1985-04-01,0
-27.175,-7.775,0,0.0,-0.09,0.0,1985-04-01,0
-0.875,142.625,0,0.0,-0.51,0.0,1985-04-01,0
2.925,86.925,1,0.0,0.04,0.0,1985-04-01,1
1.725,-81.725,0,0.0,-1.46,0.0,1985-04-01,0
24.425,-148.475,0,0.0,-4.0,0.0,1985-04-01,0
-19.125,-119.775,1,0.72,0.11,0.0,1985-04-01,1
13.425,-166.875,0,0.0,-3.95,0.0,1985-04-01,0
0.025,-164.075,0,0.0,-2.35,0.0,1985-04-01,0
-17.725,-28.925,1,0.0,0.02,0.0,1985-04-01,1
-21.325,73.225,1,0.0,-0.2,0.0,1985-04-01,1
11.475,-121.575,0,0.0,-1.22,0.0,1985-04-01,0
-0.525,81.725,1,0.0,-0.21,0.0,1985-04-01,1
-27.475,-146.675,0,9.41,-0.03,0.0,1985-04-01,0
18.575,113.425,0,0.0,-4.5200000000000005,0.0,1985-04-01,0
19.275,108.325,0,0.0,-5.53,0.0,1985-04-01,0
13.675,-33.075,0,0.0,-4.13,0.0,1985-04-01,0
8.925,177.125,0,0.0,-2.17,0.0,1985-04-01,0
-14.825,-89.725,1,0.0,0.51,0.0,1985-04-01,1
19.675,-130.925,0,0.0,-4.0,0.0,1985-04-01,0
5.825,-96.075,0,0.0,-0.47000000000000003,0.0,1985-04-01,0
-8.075,7.725,1,0.37,0.86,0.0,1985-04-01,1
-18.575,-137.925,1,0.0,0.31,0.0,1985-04-01,1
-6.375,75.225,0,0.0,-0.18,0.0,1985-04-01,0
-24.975,-43.825,1,0.0,-0.19,0.0,1985-04-01,1
17.725,-164.425,0,0.0,-3.54,0.0,1985-04-01,0
-26.475,158.225,0,0.0,-2.64,0.0,1985-04-01,0
-5.275,8.625,1,0.0,0.22,0.0,1985-04-01,1
-20.825,101.975,1,0.84,0.26,0.0,1985-04-01,1
-29.275,11.725,0,0.9500000000000001,-1.3900000000000001,0.0,1985-04-01,0
11.775,170.475,0,0.0,-2.39,0.0,1985-04-01,0
-18.525,-174.275,0,0.0,-0.53,0.0,1985-04-01,0
-15.375,81.075,0,0.0,-0.25,0.0,1985-04-01,0
-22.925,-76.675,1,0.14,0.04,0.0,1985-04-01,1
20.525,-133.225,0,0.0,-3.81,0.0,1985-04-01,0
28.625,126.075,0,0.0,-7.05,0.0,1985-04-01,0
2.825,149.925,0,0.0,-0.73,0.0,1985-04-01,0
-6.025,106.225,0,0.0,-0.56,0.0,1985-04-01,0
-5.925,-162.125,0,0.0,-1.73,0.0,1985-04-01,0
-14.475,-3.525,0,0.77,-0.62,0.0,1985-04-01,0
15.325,-64.275,0,0.0,-2.33,0.0,1985-04-01,0
3.325,-132.175,0,0.0,-0.68,0.0,1985-04-01,0
19.025,-19.625,0,0.0,-5.66,0.0,1985-04-01,0
11.875,-172.025,0,0.0,-3.04,0.0,1985-04-01,0
-7.025,-96.775,0,0.0,-0.63,0.0,1985-04-01,0
18.525,-50.125,0,0.0,-2.86,0.0,1985-04-01,0
16.375,-135.725,0,0.0,-3.36,0.0,1985-04-01,0
26.675,-122.775,0,0.0,-5.03,0.0,1985-04-01,0
-23.775,-141.975,1,3.7600000000000002,0.35000000000000003,0.0,1985-04-01,1
-10.625,58.725,0,0.0,-0.8,0.0,1985-04-01,0
16.075,63.425,0,0.0,-2.11,0.0,1985-04-01,0
2.625,178.475,0,0.0,-1.81,0.0,1985-04-01,0
-28.475,5.825,0,0.0,-0.75,0.0,1985-04-01,0
8.875,177.025,0,0.0,-2.13,0.0,1985-04-01,0
4.125,-162.925,0,0.0,-1.17,0.0,1985-04-01,0
-7.675,-92.875,0,0.0,-0.42,0.0,1985-04-01,0
-7.075,8.325,1,0.0,0.43,0.0,1985-04-01,1
-17.875,-159.975,1,0.0,0.34,0.0,1985-04-01,1
15.325,-34.375,0,0.0,-3.5500000000000003,0.0,1985-04-01,0
-23.825,-126.675,0,0.33,-0.11,0.0,1985-04-01,0
7.225,162.375,0,0.0,-1.53,0.0,1985-04-01,0
26.575,-154.225,0,0.0,-4.41,0.0,1985-04-01,0
-26.525,10.875,0,0.58,-0.81,0.0,1985-04-01,0
7.725,-94.175,0,0.0,-2.13,0.0,1985-04-01,0
19.825,-84.075,0,0.0,-3.0300000000000002,0.0,1985-04-01,0
21.825,-97.275,0,0.0,-5.16,0.0,1985-04-01,0
16.625,-71.975,0,0.0,-1.99,0.0,1985-04-01,0
-27.425,101.025,1,4.03,0.77,0.0,1985-04-01,1
26.575,55.225,0,0.0,-10.3,0.0,1985-04-01,0
